energy,unc_en,intensity_%,unc_i,type,start level energy  [keV],  end level energy  [keV], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,Extraction_date
400.8,0.5,0.032,0.016,G,2204.11,1802.84, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
411.7,0.8,0.08,0.03,G,2932.58,2521.87, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
413.4,0.3,0.19,0.03,G,2237.21,1823.80, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
528.25,0.05,2.92,0.12,G,1130.54,602.31,E2, ,,0.00848, ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
555.5,0.2,0.148,0.012,G,4499.93,3944.06, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
602.25,0.05,53,3,G,602.31,0.0,E2, ,,0.00600, ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
627.5,0.3,0.153,0.017,G,2138.27,1510.64, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
643.5,0.5,0.037,0.016,G,2782.05,2138.27, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
672.1,0.4,1.15,0.07,G,1802.84,1130.54,(E1+M2),+0.13,+7-6,0.0020, ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
693.4,0.5,0.11,0.05,G,2204.11,1510.64, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
695.5,0.5,0.29,0.05,G,2932.58,2237.21, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
726.2,0.5,0.07,0.05,G,2237.21,1510.64, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
728.9,0.6,0.09,0.03,G,2932.58,2204.11, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
735.9,0.3,0.58,0.03,G,2973.35,2237.21, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
740.8,1,0.058,0.021,G,2692.0,1951.5, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
758.5,1,0.037,0.021,G,5173.69,4416.0, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
760.3,1,0.037,0.021,G,4416.0,3656.08, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
771,0.9,0.042,0.016,G, , , , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
794.6,0.6,0.085,0.021,G,2932.58,2138.27, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
794.6,0.6,0.085,0.021,G,5183.8,4387.8, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
798.9,0.8,0.116,0.016,G,2309.89,1510.64, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
809.8,1,0.05,0.03,G,2320.32,1510.64, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
820.9,0.4,0.249,0.018,G,1951.5,1130.54,M1+E2, ,,0.0034, ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
826.9,1.5,0.026,0.016,G,5183.8,4358.79, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
862.3,1.4,0.04,0.03,G,3098.65,2237.21, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
862.3,1.4,0.04,0.03,G,4387.8,3526.5, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
862.3,1.4,0.04,0.03,G,3526.5,2663.9, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
873.2,0.6,0.07,0.03,G,3656.08,2782.05, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
881.1,0.5,0.058,0.016,G,2873.78,1993.53, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
889.1,0.8,0.037,0.021,G,2692.0,1802.84, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
889.1,0.8,0.037,0.021,G,5388.65,4499.93, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
893.4,0.5,0.037,0.021,G,3098.65,2204.11, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
908.25,0.05,8.6,0.4,G,1510.64,602.31,E2+M1,-0.60,+18-17,0.00289, ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
918.3,0.2,0.434,0.02,G,2429.52,1510.64,D+Q, ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
934.9,0.3,0.042,0.021,G,4032.5,3098.65, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
939,0.5,0.021,0.016,G,2932.58,1993.53, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
939,0.5,0.021,0.016,G,4037.37,3098.65, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
944.3,1,0.037,0.016,G,4981.9,4037.37, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
949.4,0.7,0.048,0.016,G,4801.16,3851.00, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
949.4,0.7,0.048,0.016,G,4981.9,4032.5, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
969.4,0.7,0.026,0.016,G,3944.06,2973.35, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
980.7,1,0.07,0.03,G,4079.93,3098.65, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
980.7,1,0.07,0.03,G,3851.00,2870.63, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
984.5,0.9,0.08,0.03,G,2787.53,1802.84, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1000.7,0.5,0.1,0.03,G,5388.65,4387.8, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1000.7,0.5,0.1,0.03,G,3973.07,2973.35, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1008.1,0.2,0.83,0.04,G,2138.27,1130.54,(M1+E2),-4.5,+14-26,0.00181, ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1010.4,1,0.41,0.03,G,2521.87,1510.64, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1024.1,0.3,0.122,0.017,G, , , , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1031.5,0.3,0.132,0.017,G,5388.65,4358.79, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1040.5,0.2,0.238,0.018,G,3973.07,2932.58, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1057.2,0.5,0.063,0.021,G,4032.5,2973.35, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1064,0.7,0.127,0.017,G,3851.00,2787.53, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1064,0.7,0.127,0.017,G,4037.37,2973.35, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1068,1,0.07,0.03,G,2870.63,1802.84, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1072.9,1,0.196,0.022,G,2204.11,1130.54, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1098.6,1,0.13,0.03,G,4032.5,2932.58, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1101.6,1,0.08,0.03,G,3973.07,2870.63, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1104.8,1,0.06,0.03,G,4037.37,2932.58, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1109.5,1,0.06,0.03,G, , , , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1113.6,1,0.032,0.021,G,5388.65,4275.1, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1129.65,0.05,1.22,0.05,G,2932.58,1802.84,M1+E2,+1.7,2,0.00152, ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1129.65,0.05,1.22,0.05,G, , , , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1137.5,0.4,0.095,0.011,G,5173.69,4037.37, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1137.5,0.4,0.095,0.011,G,5109.90,3973.07, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1146.9,0.4,0.079,0.011,G,3851.00,2703.98, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1146.9,0.4,0.079,0.011,G,3098.65,1951.5, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1154.2,1.5,0.037,0.011,G,2663.9,1510.64, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1158.5,0.8,0.016,0.011,G,4032.5,2873.78, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1164.4,2,0.032,0.021,G,4037.37,2873.78, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1171.6,2,0.026,0.021,G,5588.37,4416.0, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1171.6,2,0.026,0.021,G,3601.7,2429.52, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1181.4,0.8,0.021,0.016,G,2692.0,1510.64, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1190,1.5,0.217,0.013,G,2320.32,1130.54, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1200.3,0.1,4.76,0.18,G,1802.84,602.31,(E1), ,,5.74E-4, ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1221.4,0.1,2.38,0.09,G,1823.80,602.31,E2, ,,1.20E-3, ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1262.9,0.6,0.074,0.021,G,5651.11,4387.8, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1270.9,0.4,0.127,0.017,G,2782.05,1510.64, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1276.6,0.5,0.11,0.03,G,2787.53,1510.64, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1281.1,1,0.06,0.03,G,3601.7,2320.32, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1288.5,0.8,0.12,0.03,G,3526.5,2237.21, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1291.9,1,0.15,0.03,G,3601.7,2309.89, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1291.9,1,0.15,0.03,G,4079.93,2787.53, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1299.2,1.5,0.227,0.018,G,4275.1,2973.35, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1319.7,2,0.021,0.016,G,4416.0,3098.65, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1323.4,0.7,0.069,0.016,G,3526.5,2204.11, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1339.2,1.5,0.1,0.03,G,4275.1, , , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
1363.3,0.5,0.259,0.019,G,2873.78,1510.64, , ,, , ,55,85,Cs, ,0, ,1-,63.7, ,3,s,63.7,0.3,B-,100, ,6218,10,56,84,Ba,2022-01-16
